d,n,p,g,n7,n7g,n7g6
2020-06-03,53,8932664,15482,26.5714285714286,1.01864341582428,1.01099672213746
2020-06-04,17,8932664,15530,26.2857142857143,1.04249665547315,1.01588831795742
2020-06-05,67,8932664,15562,29.8571428571429,1.05545707506544,1.02016954400845
2020-06-06,31,8932664,15586,29.7142857142857,1.05505675616786,1.01946147962945
2020-06-07,25,8932664,15613,32.5714285714286,1.03654165601348,1.0121235506895
2020-06-08,24,8932664,15667,33.2857142857143,1.00670398568706,1.00046533300671
2020-06-09,15,8932664,15696,33.1428571428572,0.978115512968666,0.99113464991778
2020-06-10,34,8932664,15732,30.4285714285714,0.955499529582536,0.984957587917478
2020-06-11,22,8932664,15762,31.1428571428571,0.939336436627724,0.979990055697117
2020-06-12,37,8932664,15788,26.8571428571429,0.933144838262577,0.981512823692825
2020-06-13,22,8932664,15814,25.5714285714286,0.971385476311924,0.989323339172591
2020-06-14,18,8932664,15831,24.5714285714286,1.03554633658439,1.00242428392943
2020-06-15,53,8932664,15864,28.7142857142857,1.0494995356656,1.01476819966672
2020-06-16,19,8932664,15886,29.2857142857143,1.03485953445642,1.0208102678859
2020-06-17,31,8932664,15923,28.8571428571429,1.02677958481335,1.02704225067868
2020-06-18,32,8932664,15954,30.2857142857143,1.04502823237558,1.03328313599335
2020-06-19,52,8932664,15989,32.4285714285714,1.0539280955441,1.0339434408917
2020-06-20,32,8932664,16024,33.8571428571429,1.02556089430564,1.03298593831058
2020-06-21,29,8932664,16037,35.4285714285714,1.00839175551185,1.03034804155791
2020-06-22,31,8932664,16076,32.2857142857143,1.01327337153263,1.03554450710316
2020-06-23,43,8932664,16112,35.7142857142857,1.03127877492083,1.04169973853045
2020-06-24,35,8932664,16135,36.2857142857143,1.05206906383017,1.04932638685554
2020-06-25,44,8932664,16168,38,1.05375025997131,1.0601581249756
2020-06-26,74,8932664,16193,41.1428571428572,1.06937568535835,1.07075156713279
2020-06-27,45,8932664,16224,43,1.07551157418172,1.08223225200423
2020-06-28,63,8932664,16246,47.8571428571429,1.09059338866231,1.09291237725327
2020-06-29,49,8932664,16282,50.4285714285714,1.11746861122259,1.09759126627932
2020-06-30,101,8932664,16314,58.7142857142857,1.12422250962049,1.09884367304407
2020-07-01,95,8932664,16346,67.2857142857143,1.11848654249794,1.09266522370291
2020-07-02,80,8932664,16389,72.4285714285714,1.1069516577711,1.0841463369768
2020-07-03,134,8932664,16435,81,1.09041128192717,1.0727004473451
2020-07-04,106,8932664,16458,89.7142857142857,1.06515144043903,1.05672440301685
2020-07-05,77,8932664,16486,91.7142857142857,1.03135386760207,1.04074210794405
2020-07-06,68,8932664,16525,94.4285714285714,1.01388598229064,1.02474485235668
2020-07-07,91,8932664,16571,93,1.00891623806687,1.01320618538294
2020-07-08,117,8932664,16617,96.1428571428571,0.997225369857363,1.00539374896738
2020-07-09,72,8932664,16669,95,0.982757328037785,0.99929300907146
2020-07-10,105,8932664,16730,90.8571428571429,0.968343931464882,0.999487197877714
2020-07-11,90,8932664,16784,88.5714285714286,0.978690176316343,1.00420646798083
2020-07-12,52,8932664,16830,85,1.00699873950876,1.01053122134461
2020-07-13,98,8932664,16915,89.2857142857143,1.02998522572772,1.01842810703042
2020-07-14,123,8932664,17028,93.8571428571429,1.04913897771735,1.02327987387603
2020-07-15,130,8932664,17109,95.7142857142857,1.05363344794238,1.02776687221213
2020-07-16,141,8932664,17219,105.571428571429,1.04265280846177,1.02982946097415
2020-07-17,124,8932664,17361,108.285714285714,1.02821299634434,1.02714250118443
2020-07-18,81,8932664,17422,107,1.01392793946572,1.02461821616301
2020-07-19,87,8932664,17476,112,1.01279462198002,1.02134268086844
2020-07-20,90,8932664,17578,110.857142857143,1.01696309934575,1.01889146748105
2020-07-21,137,8932664,17708,112.857142857143,1.01268549653563,1.01753793715047
2020-07-22,162,8932664,17798,117.428571428571,1.01227805847588,1.01570477630035
2020-07-23,117,8932664,17888,114,1.0150322440354,1.01421352278446
2020-07-24,153,8932664,17991,118.142857142857,1.02222942810211,1.01516071816613
2020-07-25,112,8932664,18076,122.571428571429,1.02486210186017,1.0132574419768
2020-07-26,101,8932664,18137,124.571428571429,1.01686982803339,1.00979804672693
2020-07-27,96,8932664,18293,125.428571428571,0.999616490877554,1.00473403649979
2020-07-28,153,8932664,18440,127.714285714286,0.998296582467259,0.999410798612019
2020-07-29,102,8932664,18556,119.142857142857,1.00229973473517,0.994213184071756
2020-07-30,190,8932664,18679,129.571428571429,0.995435502987115,0.989659459350059
2020-07-31,123,8932664,18810,125.285714285714,0.97720388124263,0.982503976690345
2020-08-01,62,8932664,18906,118.142857142857,0.961933454503158,0.977258800845549
2020-08-02,70,8932664,19000,113.714285714286,0.961665222413705,0.975923385040293
2020-08-03,93,8932664,19183,113.285714285714,0.974849283647382,0.975841961779575
2020-08-04,83,8932664,19342,103.285714285714,0.978134655783288,0.980358552515401
2020-08-05,159,8932664,19495,111.428571428571,0.971053165831346,0.987144250644637
2020-08-06,119,8932664,19620,101.285714285714,0.975050422955452,0.997317834534122
2020-08-07,90,8932664,19757,96.5714285714286,0.988151515717026,1.01384094812236
2020-08-08,104,8932664,19848,102.571428571429,1.02813488460489,1.03524346928718
2020-08-09,72,8932664,19917,102.857142857143,1.06416649596096,1.05454371644697
2020-08-10,158,8932664,20056,112.142857142857,1.08022756303671,1.0725370068012
2020-08-11,187,8932664,20153,127,1.09319303458286,1.08387852991665
2020-08-12,190,8932664,20287,131.428571428571,1.12499464575099,1.09412309065811
2020-08-13,251,8932664,20384,150.285714285714,1.14120192714436,1.09913246250383
2020-08-14,349,8932664,20495,187.285714285714,1.12214710863352,1.0940601907549
2020-08-15,156,8932664,20577,194.714285714286,1.0847105082656,1.08478685311064
2020-08-16,169,8932664,20651,208.571428571429,1.06023246896321,1.07486736421313
2020-08-17,259,8932664,20762,223,1.06473841069611,1.06452429174877
2020-08-18,252,8932664,20905,232.285714285714,1.06512692828562,1.05463485731516
2020-08-19,347,8932664,21036,254.714285714286,1.04832912951167,1.04343027732627
2020-08-20,331,8932664,21179,266.142857142857,1.02768948387417,1.03191586625304
2020-08-21,302,8932664,21387,259.428571428571,1.01417994787852,1.02355672815285
2020-08-22,229,8932664,21535,269.857142857143,1.01169525987353,1.01707657803162
2020-08-23,193,8932664,21693,273.285714285714,1.0122074400756,1.01111784283153
2020-08-24,243,8932664,21894,271,1.00542483637355,1.00701836875155
2020-08-25,301,8932664,22124,278,0.993113886271325,1.00317902180106
2020-08-26,319,8932664,22348,274,0.98909169345383,1.00096679883503
2020-08-27,226,8932664,22609,259,0.995940323897568,1.00282263855562
2020-08-28,394,8932664,22947,272.142857142857,1.01102861000488,1.00592270193348
2020-08-29,237,8932664,23123,273.285714285714,1.01288098961814,1.00848632584727
2020-08-30,223,8932664,23333,277.571428571429,1.00078080955808,1.0106011739284
2020-08-31,221,8932664,23568,274.428571428571,1.00569608473534,1.01409107921562
2020-09-01,286,8932664,23787,272.285714285714,1.02634280306017,1.02056186747314
2020-09-02,429,8932664,24046,288,1.03952358128944,1.02816379718059
2020-09-03,366,8932664,24362,308,1.02774924440648,1.0338592051317
2020-09-04,380,8932664,24735,306,1.016961008469,1.04134944001272
2020-09-05,217,8932664,24957,303.142857142857,1.03136180126522,1.05384025674422
2020-09-06,367,8932664,25129,323.714285714286,1.0655398591438,1.0657198517001
2020-09-07,396,8932664,25446,348.714285714286,1.09023273184069,1.07338049969806
2020-09-08,552,8932664,25758,386.714285714286,1.09428709981039,1.07887379798938
2020-09-09,691,8932664,26017,424.142857142857,1.105665408728,1.08144485792351
2020-09-10,599,8932664,26239,457.428571428572,1.10819308452676,1.0821492204708
2020-09-11,930,8932664,26615,536,1.08571477822834,1.07732545112062
2020-09-12,414,8932664,26846,564.142857142857,1.06493733826928,1.06793259628852
2020-09-13,414,8932664,27107,570.857142857143,1.05451151179662,1.06073660579358
2020-09-14,820,8932664,27390,631.428571428572,1.05509374290066,1.05263905152903
2020-09-15,723,8932664,27757,655.857142857143,1.04874653808513,1.04278681694615
2020-09-16,854,8932664,28094,679.142857142857,1.03058917973746,1.03356366240094
2020-09-17,806,8932664,28506,708.714285714286,1.02478716424463,1.02417834365824
2020-09-18,874,8932664,28996,700.714285714286,1.02225576053416,1.0169428571185
2020-09-19,667,8932664,29342,736.857142857143,1.01079108402699,1.00942388775074
2020-09-20,471,8932664,29723,745,0.996295008491733,1.00052865031773
2020-09-21,582,8932664,30398,711,0.984339921690279,0.995103594395792
2020-09-22,719,8932664,31027,710.428571428572,0.983544127350219,0.992496260836505
2020-09-23,804,8932664,31679,703.285714285714,0.982602649832479,0.99112856029088
2020-09-24,657,8932664,32273,682,0.977734398244516,0.991931570736043
2020-09-25,763,8932664,33133,666.142857142857,0.984242140191756,0.994405709348116
2020-09-26,591,8932664,33707,655.285714285714,1.00149631349501,1.0002490240905
2020-09-27,545,8932664,34135,665.857142857143,1.01519616222163,1.00700799741368
2020-09-28,739,8932664,34935,688.285714285714,1.01821181316048,1.01230988231921
2020-09-29,759,8932664,35678,694,1.01622466113688,1.01744336617952
2020-09-30,853,8932664,36396,701,1.02224453304772,1.02322701260993
2020-10-01,791,8932664,37047,720.142857142857,1.03138641447903,1.02900925481971
2020-10-02,1013,8932664,37903,755.857142857143,1.0348288708993,1.03347436269417
2020-10-03,718,8932664,38480,774,1.0335944370581,1.0366751927657
2020-10-04,737,8932664,38914,801.428571428571,1.03629223055423,1.039758373088
2020-10-05,927,8932664,39499,828.285714285714,1.04720397169148,1.0421320897642
2020-10-06,1078,8932664,40169,873.857142857143,1.05506049072412,1.04317801841445
2020-10-07,1273,8932664,40896,933.857142857143,1.05385545301361,1.04226929088141
2020-10-08,1108,8932664,41615,979.142857142857,1.04624463916747,1.03981593807102
2020-10-09,1261,8932664,42392,1014.57142857143,1.03590449900999,1.03785895349176
2020-10-10,1014,8932664,43080,1056.85714285714,1.02864744958426,1.03627876639247
2020-10-11,830,8932664,43668,1070.14285714286,1.02594685983758,1.03569876031062
2020-10-12,1142,8932664,44517,1100.85714285714,1.02562865614048,1.03584668977442
2020-10-13,1322,8932664,45300,1135.71428571429,1.03065721159495,1.03702814920401
2020-10-14,1435,8932664,46173,1158.85714285714,1.0398084514071,1.04004105736111
2020-10-15,1522,8932664,46959,1218,1.05016905841132,1.04514729969359
2020-10-16,1795,8932664,48076,1294.28571428571,1.05290439914977,1.05194595962672
2020-10-17,1485,8932664,48903,1361.57142857143,1.04886686232226,1.05975350216092
2020-10-18,1197,8932664,49575,1414,1.0491618734671,1.06796714880783
2020-10-19,1647,8932664,50627,1486.14285714286,1.06345344329969,1.07612946569737
2020-10-20,1977,8932664,51670,1579.71428571429,1.09092660543491,1.08330692783113
2020-10-21,2654,8932664,52535,1753.85714285714,1.11311199689162,1.0896002541562
2020-10-22,3231,8932664,53554,1998,1.11679606959109,1.09275572973383
2020-10-23,3348,8932664,54772,2219.85714285714,1.10307927454851,1.09332567759444
2020-10-24,2969,8932664,55801,2431.85714285714,1.08465869706996,1.09272317658671
2020-10-25,2476,8932664,56752,2614.57142857143,1.08223886285587,1.09088712770372
2020-10-26,2783,8932664,57828,2776.85714285714,1.08877703030802,1.08899365685838
2020-10-27,4373,8932664,59299,3119.14285714286,1.09122460647351,1.0858892902919
2020-10-28,4466,8932664,61171,3378,1.08860655651201,1.08208729152209
2020-10-29,5044,8932664,63013,3637,1.08122460465423,1.07938176051031
2020-10-30,5716,8932664,65435,3975.28571428571,1.07630182691835,1.0761737306096
2020-10-31,4787,8932664,67526,4235,1.07226442532496,1.07304795406748
2020-11-01,4479,8932664,69414,4521.14285714286,1.06850203035321,1.06875336402089
2020-11-02,5192,8932664,71861,4865.28571428572,1.06812520452579,1.06334805404633
2020-11-03,6359,8932664,74450,5149,1.06461175997319,1.05811987917649
2020-11-04,7107,8932664,77346,5526.28571428572,1.06007500143987,1.05226968928269
